experiment_id,problem_id,condition,kernel_pass,inappropriate_assumption,leakage_risk,reviewer_note
pilot-20260826T061001Z-49c14da0,and_swap_eval,A,,,,
pilot-20260826T061001Z-49c14da0,and_swap_eval,B,,,,
pilot-20260826T061001Z-49c14da0,and_swap_eval,C,,,,
pilot-20260826T061001Z-49c14da0,or_swap_eval,A,,,,
pilot-20260826T061001Z-49c14da0,or_swap_eval,B,,,,
pilot-20260826T061001Z-49c14da0,or_swap_eval,C,,,,
pilot-20260826T061001Z-49c14da0,eq_transitive_eval,A,,,,
pilot-20260826T061001Z-49c14da0,eq_transitive_eval,B,,,,
pilot-20260826T061001Z-49c14da0,eq_transitive_eval,C,,,,
pilot-20260826T061001Z-49c14da0,function_congruent_eval,A,,,,
pilot-20260826T061001Z-49c14da0,function_congruent_eval,B,,,,
pilot-20260826T061001Z-49c14da0,function_congruent_eval,C,,,,
pilot-20260826T061001Z-49c14da0,nat_add_zero_eval,A,,,,
pilot-20260826T061001Z-49c14da0,nat_add_zero_eval,B,,,,
pilot-20260826T061001Z-49c14da0,nat_add_zero_eval,C,,,,
pilot-20260826T061001Z-49c14da0,nat_zero_add_eval,A,,,,
pilot-20260826T061001Z-49c14da0,nat_zero_add_eval,B,,,,
pilot-20260826T061001Z-49c14da0,nat_zero_add_eval,C,,,,
pilot-20260826T061001Z-49c14da0,nat_succ_ne_zero_eval,A,,,,
pilot-20260826T061001Z-49c14da0,nat_succ_ne_zero_eval,B,,,,
pilot-20260826T061001Z-49c14da0,nat_succ_ne_zero_eval,C,,,,
pilot-20260826T061001Z-49c14da0,nat_le_transitive_eval,A,,,,
pilot-20260826T061001Z-49c14da0,nat_le_transitive_eval,B,,,,
pilot-20260826T061001Z-49c14da0,nat_le_transitive_eval,C,,,,
pilot-20260826T061001Z-49c14da0,bool_cases_eval,A,,,,
pilot-20260826T061001Z-49c14da0,bool_cases_eval,B,,,,
pilot-20260826T061001Z-49c14da0,bool_cases_eval,C,,,,
pilot-20260826T061001Z-49c14da0,identity_application_eval,A,,,,
pilot-20260826T061001Z-49c14da0,identity_application_eval,B,,,,
pilot-20260826T061001Z-49c14da0,identity_application_eval,C,,,,
pilot-20260826T061001Z-49c14da0,and_assoc_eval,A,,,,
pilot-20260826T061001Z-49c14da0,and_assoc_eval,B,,,,
pilot-20260826T061001Z-49c14da0,and_assoc_eval,C,,,,
pilot-20260826T061001Z-49c14da0,or_assoc_eval,A,,,,
pilot-20260826T061001Z-49c14da0,or_assoc_eval,B,,,,
pilot-20260826T061001Z-49c14da0,or_assoc_eval,C,,,,
pilot-20260826T061001Z-49c14da0,not_not_intro_eval,A,,,,
pilot-20260826T061001Z-49c14da0,not_not_intro_eval,B,,,,
pilot-20260826T061001Z-49c14da0,not_not_intro_eval,C,,,,
pilot-20260826T061001Z-49c14da0,nat_succ_add_eval,A,,,,
pilot-20260826T061001Z-49c14da0,nat_succ_add_eval,B,,,,
pilot-20260826T061001Z-49c14da0,nat_succ_add_eval,C,,,,
pilot-20260826T061001Z-49c14da0,nat_add_comm_eval,A,,,,
pilot-20260826T061001Z-49c14da0,nat_add_comm_eval,B,,,,
pilot-20260826T061001Z-49c14da0,nat_add_comm_eval,C,,,,
pilot-20260826T061001Z-49c14da0,nat_mul_zero_eval,A,,,,
pilot-20260826T061001Z-49c14da0,nat_mul_zero_eval,B,,,,
pilot-20260826T061001Z-49c14da0,nat_mul_zero_eval,C,,,,
pilot-20260826T061001Z-49c14da0,nat_lt_succ_self_eval,A,,,,
pilot-20260826T061001Z-49c14da0,nat_lt_succ_self_eval,B,,,,
pilot-20260826T061001Z-49c14da0,nat_lt_succ_self_eval,C,,,,
pilot-20260826T061001Z-49c14da0,implies_self_eval,A,,,,
pilot-20260826T061001Z-49c14da0,implies_self_eval,B,,,,
pilot-20260826T061001Z-49c14da0,implies_self_eval,C,,,,
