experiment_id,problem_id,condition,kernel_pass,inappropriate_assumption,leakage_risk,reviewer_note
pilot-20260826T082705Z-2c956ed5,and_swap_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,and_swap_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,and_swap_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,or_swap_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,or_swap_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,or_swap_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,eq_transitive_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,eq_transitive_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,eq_transitive_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,function_congruent_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,function_congruent_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,function_congruent_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,nat_add_zero_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,nat_add_zero_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,nat_add_zero_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,nat_zero_add_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,nat_zero_add_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,nat_zero_add_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,nat_succ_ne_zero_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,nat_succ_ne_zero_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,nat_succ_ne_zero_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,nat_le_transitive_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,nat_le_transitive_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,nat_le_transitive_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,bool_cases_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,bool_cases_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,bool_cases_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,identity_application_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,identity_application_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,identity_application_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,and_assoc_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,and_assoc_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,and_assoc_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,or_assoc_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,or_assoc_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,or_assoc_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,not_not_intro_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,not_not_intro_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,not_not_intro_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,nat_succ_add_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,nat_succ_add_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,nat_succ_add_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,nat_add_comm_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,nat_add_comm_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,nat_add_comm_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,nat_mul_zero_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,nat_mul_zero_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,nat_mul_zero_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,nat_lt_succ_self_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,nat_lt_succ_self_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,nat_lt_succ_self_eval,C,,,,
pilot-20260826T082705Z-2c956ed5,implies_self_eval,A,,,,
pilot-20260826T082705Z-2c956ed5,implies_self_eval,B,,,,
pilot-20260826T082705Z-2c956ed5,implies_self_eval,C,,,,
